Crime Type,Loss Amount,State/Territory,Year
IPR/Copyright and Counterfeit,"$135,259",Florida,2017
Identity Theft,"$1,771,506",Florida,2017
Investment,"$2,382,716",Florida,2017
Lottery/Sweepstakes/Inheritance,"$1,137,745",Florida,2017
Malware/Scareware/Virus,"$1,474,920",Florida,2017
Misrepresentation,"$1,121,052",Florida,2017
No Lead Value,$0,Florida,2017
Non-payment/Non-Delivery,"$8,114,572",Florida,2017
Other,"$962,915",Florida,2017
Overpayment,"$2,298,839",Florida,2017
Personal Data Breach,"$2,017,041",Florida,2017
Phishing/Vishing/Smishing/Pharming,"$432,990",Florida,2017
Ransomware,"$277,267",Florida,2017
Re-shipping,"$34,857",Florida,2017
Real Estate/Rental,"$3,647,510",Florida,2017
Spoofing,$0,Florida,2017
Tech Support,"$781,083",Florida,2017
Terrorism,$0,Florida,2017
Social Media,"$1,443,949",Florida,2017
Virtual Currency,"$1,790,415",Florida,2017
Advanced Fee,"$1,304,837",Georgia,2017
BEC/EAC,"$7,583,099",Georgia,2017
Charity,"$142,722",Georgia,2017
Civil Matter,"$255,368",Georgia,2017
Confidence Fraud/Romance,"$4,805,548",Georgia,2017
Corporate Data Breach,"$131,739",Georgia,2017
Credit Card Fraud,"$1,235,159",Georgia,2017
Crimes Against Children,$0,Georgia,2017
Criminal Forums,$0,Georgia,2017
Denial of Service/TDos,"$1,040",Georgia,2017
Employment,"$703,021",Georgia,2017
Extortion,"$68,240",Georgia,2017
Gambling,"$4,101",Georgia,2017
Government Impersonation,"$549,328",Georgia,2017
Hacktivist,$0,Georgia,2017
Harassment/Threats of Violence,"$208,962",Georgia,2017
Health Care Related,"$1,485",Georgia,2017
IPR/Copyright and Counterfeit,"$17,084",Georgia,2017
Identity Theft,"$427,795",Georgia,2017
Investment,"$560,070",Georgia,2017
Lottery/Sweepstakes/Inheritance,"$156,887",Georgia,2017
Malware/Scareware/Virus,"$103,086",Georgia,2017
Misrepresentation,"$121,565",Georgia,2017
No Lead Value,$0,Georgia,2017
Non-payment/Non-Delivery,"$3,386,316",Georgia,2017
Other,"$561,589",Georgia,2017
Overpayment,"$974,592",Georgia,2017
Personal Data Breach,"$249,360",Georgia,2017
Phishing/Vishing/Smishing/Pharming,"$220,722",Georgia,2017
Ransomware,$0,Georgia,2017
Re-shipping,"$6,471",Georgia,2017
Real Estate/Rental,"$3,196,562",Georgia,2017
Spoofing,$0,Georgia,2017
Tech Support,"$170,699",Georgia,2017
Terrorism,$0,Georgia,2017
Social Media,"$956,318",Georgia,2017
Virtual Currency,"$218,418",Georgia,2017
Advanced Fee,$0,Guam,2017
BEC/EAC,$0,Guam,2017
Charity,$0,Guam,2017
Civil Matter,$0,Guam,2017
Confidence Fraud/Romance,$0,Guam,2017
Corporate Data Breach,$0,Guam,2017
Credit Card Fraud,$0,Guam,2017
Crimes Against Children,$0,Guam,2017
Criminal Forums,$0,Guam,2017
Denial of Service/TDos,$0,Guam,2017
Employment,"$1,850",Guam,2017
Extortion,$0,Guam,2017
Gambling,$0,Guam,2017
Government Impersonation,$0,Guam,2017
Hacktivist,$0,Guam,2017
Harassment/Threats of Violence,$0,Guam,2017
Health Care Related,$0,Guam,2017
IPR/Copyright and Counterfeit,$0,Guam,2017
Identity Theft,$0,Guam,2017
Investment,$0,Guam,2017
Lottery/Sweepstakes/Inheritance,$0,Guam,2017
Malware/Scareware/Virus,$0,Guam,2017
Misrepresentation,$0,Guam,2017
No Lead Value,$0,Guam,2017
Non-payment/Non-Delivery,"$3,127",Guam,2017
Other,$0,Guam,2017
Overpayment,$0,Guam,2017
Personal Data Breach,$0,Guam,2017
Phishing/Vishing/Smishing/Pharming,$0,Guam,2017
Ransomware,$0,Guam,2017
Re-shipping,$0,Guam,2017
Real Estate/Rental,"$2,420",Guam,2017
Spoofing,$0,Guam,2017
Tech Support,$0,Guam,2017
Terrorism,$0,Guam,2017
Social Media,$436,Guam,2017
Virtual Currency,$0,Guam,2017
Advanced Fee,"$35,232",Hawaii,2017
BEC/EAC,"$261,517",Hawaii,2017
Charity,$0,Hawaii,2017
Civil Matter,"$2,900",Hawaii,2017
Confidence Fraud/Romance,"$105,841",Hawaii,2017
Corporate Data Breach,"$15,200",Hawaii,2017
Credit Card Fraud,"$121,879",Hawaii,2017
Crimes Against Children,$0,Hawaii,2017
Criminal Forums,$0,Hawaii,2017
Denial of Service/TDos,$0,Hawaii,2017
Employment,"$25,285",Hawaii,2017
Extortion,$264,Hawaii,2017
Gambling,$0,Hawaii,2017
Government Impersonation,$0,Hawaii,2017
Hacktivist,$0,Hawaii,2017
Harassment/Threats of Violence,$264,Hawaii,2017
Health Care Related,$0,Hawaii,2017
IPR/Copyright and Counterfeit,"$34,848",Hawaii,2017
Identity Theft,"$41,013",Hawaii,2017
Investment,"$1,800",Hawaii,2017
Lottery/Sweepstakes/Inheritance,"$121,850",Hawaii,2017
Malware/Scareware/Virus,$0,Hawaii,2017
Misrepresentation,"$40,798",Hawaii,2017
No Lead Value,$0,Hawaii,2017
Non-payment/Non-Delivery,"$198,631",Hawaii,2017
Other,$0,Hawaii,2017
Overpayment,"$65,664",Hawaii,2017
Personal Data Breach,"$11,087",Hawaii,2017
Phishing/Vishing/Smishing/Pharming,"$5,647",Hawaii,2017
Ransomware,"$1,000",Hawaii,2017
Re-shipping,$0,Hawaii,2017
Real Estate/Rental,"$54,228",Hawaii,2017
Spoofing,$0,Hawaii,2017
Tech Support,"$12,770",Hawaii,2017
Terrorism,$0,Hawaii,2017
Social Media,"$4,300",Hawaii,2017
Virtual Currency,"$1,000",Hawaii,2017
Advanced Fee,"$41,598",Idaho,2017
BEC/EAC,"$323,424",Idaho,2017
Charity,"$3,500",Idaho,2017
Civil Matter,$50,Idaho,2017
Confidence Fraud/Romance,"$222,798",Idaho,2017
Corporate Data Breach,$0,Idaho,2017
Credit Card Fraud,"$18,023",Idaho,2017
Crimes Against Children,$0,Idaho,2017
Criminal Forums,$0,Idaho,2017
Denial of Service/TDos,$0,Idaho,2017
Employment,"$37,341",Idaho,2017
Extortion,$0,Idaho,2017
Gambling,$0,Idaho,2017
Government Impersonation,$0,Idaho,2017
Hacktivist,$0,Idaho,2017
Harassment/Threats of Violence,$0,Idaho,2017
Health Care Related,$0,Idaho,2017
IPR/Copyright and Counterfeit,$165,Idaho,2017
Identity Theft,"$84,007",Idaho,2017
Investment,"$43,596",Idaho,2017
Lottery/Sweepstakes/Inheritance,"$4,585",Idaho,2017
Malware/Scareware/Virus,$0,Idaho,2017
Misrepresentation,"$10,073",Idaho,2017
No Lead Value,$0,Idaho,2017
Non-payment/Non-Delivery,"$576,663",Idaho,2017
Other,"$2,047",Idaho,2017
Overpayment,"$197,167",Idaho,2017
Personal Data Breach,"$3,951",Idaho,2017
Phishing/Vishing/Smishing/Pharming,$0,Idaho,2017
Ransomware,$0,Idaho,2017
Re-shipping,"$19,300",Idaho,2017
Real Estate/Rental,"$24,155",Idaho,2017
Spoofing,$0,Idaho,2017
Tech Support,$0,Idaho,2017
Terrorism,$0,Idaho,2017
Social Media,"$16,335",Idaho,2017
Virtual Currency,"$19,140",Idaho,2017
Advanced Fee,"$1,156,784",Illinois,2017
BEC/EAC,"$3,951,288",Illinois,2017
Charity,"$4,465",Illinois,2017
Civil Matter,"$46,699",Illinois,2017
Confidence Fraud/Romance,"$4,981,947",Illinois,2017
Corporate Data Breach,"$134,189",Illinois,2017
Credit Card Fraud,"$603,189",Illinois,2017
Crimes Against Children,$500,Illinois,2017
Criminal Forums,$0,Illinois,2017
Denial of Service/TDos,$0,Illinois,2017
Employment,"$507,759",Illinois,2017
Extortion,"$75,503",Illinois,2017
Gambling,$0,Illinois,2017
Government Impersonation,"$48,268",Illinois,2017
Hacktivist,$0,Illinois,2017
Harassment/Threats of Violence,"$43,395",Illinois,2017
Health Care Related,"$1,149",Illinois,2017
IPR/Copyright and Counterfeit,"$74,939",Illinois,2017
Identity Theft,"$495,784",Illinois,2017
Investment,"$999,666",Illinois,2017
Lottery/Sweepstakes/Inheritance,"$294,279",Illinois,2017
Malware/Scareware/Virus,"$2,421",Illinois,2017
Misrepresentation,"$182,396",Illinois,2017
No Lead Value,$0,Illinois,2017
Non-payment/Non-Delivery,"$1,715,429",Illinois,2017
Other,"$1,028,706",Illinois,2017
Overpayment,"$2,568,066",Illinois,2017
Personal Data Breach,"$554,841",Illinois,2017
Phishing/Vishing/Smishing/Pharming,"$303,971",Illinois,2017
Ransomware,$199,Illinois,2017
Re-shipping,"$17,561",Illinois,2017
Real Estate/Rental,"$2,548,286",Illinois,2017
Spoofing,$0,Illinois,2017
Tech Support,"$20,170",Illinois,2017
Terrorism,$0,Illinois,2017
Social Media,"$540,014",Illinois,2017
Virtual Currency,"$135,267",Illinois,2017
Advanced Fee,"$157,703",Indiana,2017
BEC/EAC,"$1,223,801",Indiana,2017
Charity,"$2,400",Indiana,2017
Civil Matter,"$3,024",Indiana,2017
Confidence Fraud/Romance,"$1,801,910",Indiana,2017
Corporate Data Breach,$0,Indiana,2017
Credit Card Fraud,"$144,827",Indiana,2017
Crimes Against Children,$0,Indiana,2017
Criminal Forums,$0,Indiana,2017
Denial of Service/TDos,$0,Indiana,2017
Employment,"$317,303",Indiana,2017
Extortion,"$15,728",Indiana,2017
Gambling,$0,Indiana,2017
Government Impersonation,"$7,501",Indiana,2017
Hacktivist,$0,Indiana,2017
Harassment/Threats of Violence,"$12,429",Indiana,2017
Health Care Related,"$48,702",Indiana,2017
IPR/Copyright and Counterfeit,"$7,278",Indiana,2017
Identity Theft,"$45,735",Indiana,2017
Investment,"$26,600",Indiana,2017
Lottery/Sweepstakes/Inheritance,"$14,230",Indiana,2017
Malware/Scareware/Virus,"$1,301",Indiana,2017
Misrepresentation,"$145,412",Indiana,2017
No Lead Value,$0,Indiana,2017
Non-payment/Non-Delivery,"$832,867",Indiana,2017
Other,"$35,719",Indiana,2017
Overpayment,"$215,426",Indiana,2017
Personal Data Breach,"$28,870",Indiana,2017
Phishing/Vishing/Smishing/Pharming,"$78,774",Indiana,2017
Ransomware,$0,Indiana,2017
Re-shipping,$0,Indiana,2017
Real Estate/Rental,"$148,063",Indiana,2017
Spoofing,$0,Indiana,2017
Tech Support,"$43,370",Indiana,2017
Terrorism,$0,Indiana,2017
Social Media,"$472,821",Indiana,2017
Virtual Currency,$0,Indiana,2017
Advanced Fee,"$469,784",Iowa,2017
BEC/EAC,"$338,716",Iowa,2017
Charity,$0,Iowa,2017
Civil Matter,"$4,033",Iowa,2017
Confidence Fraud/Romance,"$255,461",Iowa,2017
Corporate Data Breach,"$300,000",Iowa,2017
